email,lead_id,lead_captured_date,lead_type,contact_type,business_type
amanda.silva@email.com.br,00Q4P00000wkw5kUAA,2019-12-23 16:12:35,Direto,Comprador,Cliente Direto
emilly.gomes@email.com.br,00Q4P00000wkxAqUAI,2019-12-26 12:00:53,Direto,Comprador,Cliente Direto
luiza.araujo@email.com.br,00Q4P00000wl1UJUAY,2020-01-03 11:40:38,Direto,Comprador,Cliente Direto
lucas.cavalcanti@email.com.br,00Q4P00000wl5ZjUAI,2020-01-07 9:41:50,Direto,Comprador,Cliente Direto
lara.gomes@email.com.br,00Q4P00000wl6FNUAY,2020-01-07 13:40:46,Direto,Comprador,Cliente Direto
eduardo.correia@email.com.br,00Q4P00000wl7ECUAY,2020-01-08 7:11:16,Direto,Comprador,Cliente Direto
fernanda.castro@email.com.br,00Q4P00000wl827UAA,2020-01-08 15:33:14,Direto,Comprador,Cliente Direto
breno.cardoso@email.com.br,00Q4P00000wlGKBUA2,2020-01-08 20:14:20,Direto,Comprador,Cliente Direto
sofia.ribeiro@email.com.br,00Q4P00000wlGPLUA2,2020-01-08 21:49:59,Direto,Comprador,Cliente Direto
mateus.azevedo@email.com.br,00Q4P00000wlH0WUAU,2020-01-09 13:27:35,Direto,Comprador,Cliente Direto
rebeca.sousa@email.com.br,00Q4P00000wlHvyUAE,2020-01-09 20:35:16,Direto,Comprador,Cliente Direto
gustavo.goncalves@email.com.br,00Q4P00000wlI7UUAU,2020-01-10 5:25:23,Direto,Comprador,Cliente Direto
evelyn.araujo@email.com.br,00Q4P00000wlIquUAE,2020-01-10 15:27:16,Direto,Comprador,Cliente Direto
anna.melo@email.com.br,00Q4P00000wlPH7UAM,2020-01-12 7:30:06,Direto,Comprador,Cliente Direto
vitória.rocha@email.com.br,00Q4P00000wlQI6UAM,2020-01-13 13:28:08,Indireto,Corretor,Corretor Autônomo
giovana.goncalves@email.com.br,00Q4P00000wlR2QUAU,2020-01-13 18:53:51,Direto,Comprador,Cliente Direto
lucas.barbosa@email.com.br,00Q4P00000wlRRGUA2,2020-01-14 9:49:49,Direto,Comprador,Cliente Direto
yasmin.sousa@email.com.br,00Q4P00000wlSi2UAE,2020-01-15 7:31:36,Direto,Comprador,Cliente Direto
erick.goncalves@email.com.br,00Q4P00000wlW1UUAU,2020-01-16 19:49:01,Direto,Comprador,Cliente Direto
amanda.dias@email.com.br,00Q4P00000wlWvFUAU,2020-01-17 12:08:36,Direto,Comprador,Cliente Direto
leonardo.barros@email.com.br,00Q4P00000wlZauUAE,2020-01-18 9:01:59,Indireto,Corretor,Corretor Autônomo
cauã.rodrigues@email.com.br,00Q4P00000wlZntUAE,2020-01-18 12:03:28,Direto,Comprador,Cliente Direto
evelyn.azevedo@email.com.br,00Q4P00000wlbf3UAA,2020-01-19 13:14:45,Direto,Comprador,Cliente Direto
josé.sousa@email.com.br,00Q4P00000wlcLsUAI,2020-01-20 11:21:23,Indireto,Corretor,Corretor Autônomo
carla.melo@email.com.br,00Q4P00000wldaUUAQ,2020-01-20 15:15:41,Direto,Comprador,Cliente Direto
marisa.barros@email.com.br,00Q4P00000wlhkmUAA,2020-01-21 19:12:08,Direto,Comprador,Cliente Direto
julia.pereira@email.com.br,00Q4P00000wliEcUAI,2020-01-22 7:05:32,Direto,Comprador,Cliente Direto
thiago.rodrigues@email.com.br,00Q4P00000wljGaUAI,2020-01-22 16:40:14,Indireto,Corretor,Imobiliária Grande
vitória.cunha@email.com.br,00Q4P00000wlmQFUAY,2020-01-23 18:03:34,Indireto,Corretor,Imobiliária Pequena
